geometry,coordinates,OBJECTID,CARTONAME,SUBDIVISION,Shape_Length
MultiLineString,"-78.73314569718858,35.647754126027415,-78.73317832660881,35.64764279111643,-78.73319387472883,35.64757962561805,-78.73320353950122,35.64753509233029,-78.73321054907592,35.647493364632226,-78.73321437438005,35.64746118371325,-78.73321787894899,35.647427806855646,-78.73322008548685,35.64739054308824,-78.73322246893535,35.64733241628258,-78.73322298941648,35.647285017263336,-78.73322162066879,35.64724626107294,-78.7332195808837,35.64721107739639,-78.733215011122,35.6471571087419,-78.73321040492718,35.647113871880904,-78.73320359601503,35.647074207779006,-78.7331935370166,35.64702350631372,-78.7331845282251,35.64698622154361,-78.73317334236422,35.64694505784881,-78.7331617811769,35.6469068733036,-78.73314658856218,35.646862123222,-78.73312305260833,35.646800361942724,-78.73309659557054,35.64673799753102,-78.7330554429763,35.646643960482486,-78.73301279383293,35.64654767117919,-78.73297746972473,35.64646342240199,-78.73296212632098,35.64642527820274,-78.73294852436338,35.646390501789696,-78.73293932253806,35.6463629226724,-78.73293174064987,35.646336373787754,-78.7329263447748,35.6463113205919,-78.73292138721102,35.64628596278909,-78.73291656121377,35.64625285337291,-78.73291429158337,35.64621273770454,-78.73291441578654,35.646175056522644,-78.73291866959782,35.646125459099345,-78.73292415157188,35.64608384612743,-78.73293180246311,35.646041539345106,-78.73294305278368,35.6459967274071,-78.73295662986872,35.64595526020435,-78.73297255101316,35.64591188901501,-78.73298378841197,35.64587802345099,-78.73313146899083,35.64548417955325,-78.73314742497108,35.645429838567004,-78.73315810348683,35.64538120978792,-78.73316349936736,35.645339867023125,-78.73316620130144,35.64530406546517,-78.7331660476056,35.64527595726513,-78.73316323091466,35.645243993410176,-78.73315518407058,35.64520305020781,-78.73314421233006,35.64516334089123,-78.73313205153704,35.645129925132814,-78.73311696615441,35.64509698068856,-78.73309779132936,35.64506412191273,-78.7330690049168,35.64502184600843,-78.73303670538316,35.64498170858095,-78.73299739372719,35.6449415548484,-78.73295543867665,35.644905689492944,-78.73291492842807,35.64487473984001,-78.7328856238545,35.644856709088,-78.73284770605943,35.64483695038391,-78.73280408603434,35.64481878450537,-78.7327674953597,35.64480546818126,-78.73272149502529,35.644790167050104,-78.7326689432869,35.64477812622992,-78.73260397202709,35.64476665569864,-78.73254394873726,35.64476097478916,-78.73244667917106,35.64475360654886,-78.73231605861571,35.644742737764545,-78.73224102467489,35.644735107322006,-78.73217239379667,35.64472601266405,-78.73210887658637,35.6447163334166,-78.73205120825435,35.644705474491005,-78.73200376945303,35.64469344554903,-78.73197177311658,35.64468303074981,-78.73192351523444,35.6446652455334,-78.73186224088819,35.64463888287033,-78.7314395337641,35.644430833647554,-78.73314569718858,35.647754126027415,-78.73310569546861,35.647746885995204,-78.733065054656,35.647745947902834,-78.733024761481,35.647751334526546,-78.73298579423346,35.647762915082915,-78.73294909901065,35.647780408404195,-78.73291556674668,35.64780338976491,-78.73288601158127,35.64783130119382,-78.73286115109296,35.64786346502114,-78.73284158887688,35.64789910033184,-78.73283709318237,35.64793516931454,-78.73283874044276,35.64797148004734,-78.73284648353578,35.64800699380936,-78.7328601009591,35.64804069467826,-78.7328792031667,35.64807161859209,-78.73290324371241,35.64809888092774,-78.73293153488173,35.648121701806794,-78.73296326736501,35.6481394284051,-78.7329975334088,35.64815155362777,-78.73303335278355,35.64815773061533,-78.7330697008244,35.648157782666146,-78.7330697008244,35.648157782666146,-78.73310482115716,35.64816402300038,-78.73314049147928,35.64816411054278,-78.73317564201895,35.6481580426679,-78.73320921859286,35.64814600135451,-78.73324021422182,35.648128347727976,-78.73326769933051,35.6481056112299,-78.73329084962596,35.64807847373988,-78.7333089708186,35.64804774912561,-78.73332151944423,35.64801435883453,-78.73332811916296,35.647979304259124,-78.73332857204572,35.64794363670466,-78.73332286451033,35.64790842585997,-78.73331116772877,35.64787472771691,-78.73329383249373,35.647843552900625,-78.73327137869808,35.647815836360344,-78.73324447974302,35.64779240932978,-78.73321394234245,35.64777397439798,-78.73318068232918,35.64776108443829,-78.73314569718858,35.647754126027415,-78.73351604431662,35.651062857219905,-78.73340108886576,35.65096673152871,-78.73334907708714,35.65092225776212,-78.7333199610207,35.650895247989624,-78.73328965422573,35.65086596321292,-78.73325776477412,35.650833696788744,-78.73322238903665,35.65079534198096,-78.73318921019579,35.650755559684505,-78.73315908993305,35.65071828903165,-78.73313159791437,35.65068173983576,-78.73310716674774,35.65064734354237,-78.73308362306555,35.650609729451965,-78.73306182965628,35.65057283489597,-78.73303960727104,35.65053307660217,-78.73301520801313,35.65048902204161,-78.73299518252598,35.650447838066576,-78.73297735162701,35.65040558626025,-78.73295606513254,35.650347943863466,-78.73293916419098,35.65028959539367,-78.73292214322187,35.65022310807067,-78.73291138547945,35.65016286575846,-78.73290554752141,35.650116734581786,-78.73290144800576,35.65007021331762,-78.73289840899893,35.65002191865731,-78.73289900191007,35.64997505615751,-78.7329012339735,35.649918389308596,-78.73290657310724,35.64984983553327,-78.73291341848457,35.64976757052139,-78.73297467563219,35.64913391371965,-78.73303682003524,35.64845256111957,-78.73305568522858,35.648284660380796,-78.7330697008244,35.648157782666146",1,BRIGHTON FOREST DR,Brighton Forest ,3153.426552089888
LineString,"-78.75485518448185,35.58440546347462,-78.75418871123338,35.584391667073895",2,FERN WILLOW CT,Willow Creek,198.22168250107055
LineString,"-78.74753579583398,35.590194260827964,-78.74692089590333,35.59011413576122",3,GLACIER CT,Harrison Place,185.1227005428878
LineString,"-78.74770299820729,35.58936584586047,-78.74710597009322,35.589292924011424",4,BLIZZARD CT,Harrison Place,179.47302890448432
LineString,"-78.80766480910296,35.578348357603055,-78.80812388974589,35.57833060108614",5,JONESGATE DR,Southview Pointe,136.6585066055507
LineString,"-78.73098281061166,35.64100330869478,-78.73106786086032,35.64090444086729,-78.73108932210249,35.640878989936354,-78.73109794230787,35.64086816352881,-78.73110692976469,35.640855477473295,-78.73111481272807,35.64084253748845,-78.73112236147732,35.64082748932508,-78.73113156535821,35.64080515081007,-78.73116023256637,35.640713851566616",6,GOLDLEAF CT,Brighton Forest ,119.31392273206629
LineString,"-78.78741033445532,35.584621588405376,-78.78749874871592,35.584682462120206,-78.78749550670392,35.58592678314563",7,BROOKSIDE DR,Town Street,487.2790247351911
LineString,"-78.79135276794719,35.58429240523866,-78.7913674168441,35.583880895249685,-78.79138835559047,35.58358506163977,-78.79144383153184,35.58283373944901",8,BLANCHARD ST,Town Street,531.6541636739148
LineString,"-78.79199696648904,35.58429878455611,-78.79206805751018,35.58280733362267",9,CLIFTON ST,Town Street,543.2582627079322
LineString,"-78.79443351565077,35.5818547723139,-78.794415025646,35.58171850814633,-78.79433403184109,35.58149634036674,-78.79427782048231,35.581282287404186,-78.7942400283161,35.58109882752014,-78.79422607111921,35.580966241466776,-78.79421249873678,35.58068202633784,-78.79421789434322,35.5803780954588,-78.79425167451048,35.580319596877075,-78.7943043053309,35.580288435375074,-78.794394841112,35.580261696254894",10,E HILLSIDE DR,Town Street,615.7568324542585
