X,Y,ID,Case_Number,Address,Occurred_Date,Occurred_Month,Occurred_Year,Crime_Type,Multiple_Shooting,Gender,Race,Ethnicity,Victim_Age,Victim_Age_Band,Latitude,Longitude,ObjectId
-77.607990462,43.1836795360001,d981912bde17ff11baeec440d2962c55,20-180265,1010 Joseph Ave,2020/08/09 04:00:00+00,8,2020,Shooting,No,M,BLACK,NON HISPANIC,23,15-24,43.1836795360001,-77.607990462,1
-77.643147095,43.141723401,9aed9ae5ee7f83638ee33ccff49cf6b9,20-180404,294 Rugby Ave,2020/08/09 04:00:00+00,8,2020,Shooting,No,F,BLACK,NON HISPANIC,28,25-44,43.141723401,-77.643147095,2
-77.6112000269999,43.1784481240001,b0c3f83c934aeea9486ccc2362e0cee6,20-179396,77 Ketchum St,2020/08/08 04:00:00+00,8,2020,Shooting,No,M,WHITE,NON HISPANIC,49,45-Older,43.1784481240001,-77.6112000269999,3
-77.6133565439999,43.168276184,b83cd8b57bb9048cca4830620cbfab07,20-179526,123 Upper Falls Blvd,2020/08/08 04:00:00+00,8,2020,Shooting,No,M,BLACK,NON HISPANIC,23,15-24,43.168276184,-77.6133565439999,4
-77.589725243,43.1817751680001,42bb767348c1f8a5e4c085b67ab14732,20-177327,334 Roycroft Dr,2020/08/06 04:00:00+00,8,2020,Shooting,Yes,M,BLACK,NON HISPANIC,22,15-24,43.1817751680001,-77.589725243,5
-77.589725243,43.1817751680001,a8c5e088b79b16709df3ce1589438e4b,20-177327,334 Roycroft Dr,2020/08/06 04:00:00+00,8,2020,Shooting,Yes,M,BLACK,NON HISPANIC,21,15-24,43.1817751680001,-77.589725243,6
-77.6143448029999,43.1265908730001,1642e9ea9f20bc6c190560580241ad24,20-177720,67 Langslow St,2020/08/06 04:00:00+00,8,2020,Shooting,No,F,BLACK,NON HISPANIC,21,15-24,43.1265908730001,-77.6143448029999,7
-77.646771838,43.1461682390001,7c4ff4e2a92a48af3a1bebb390a4fdbc,20-176704,16 Sherwood Ave,2020/08/05 04:00:00+00,8,2020,Shooting,No,M,BLACK,NON HISPANIC,39,25-44,43.1461682390001,-77.646771838,8
-77.580698264,43.169300143,5e631196f8d60399474687757b4fe570,20-175390,19 Wabash St,2020/08/04 04:00:00+00,8,2020,Homicide,No,M,BLACK,NON HISPANIC,35,25-44,43.169300143,-77.580698264,9
-77.648424429,43.179133139,d604b745f7537a66e8883bef6da030d6,20-174878,681 Lexington Ave,2020/08/03 04:00:00+00,8,2020,Shooting,Yes,F,BLACK,NON HISPANIC,31,25-44,43.179133139,-77.648424429,10
-77.648424429,43.179133139,7b512d2bf479e7f0b509086593a5412d,20-174878,681 Lexington Ave,2020/08/03 04:00:00+00,8,2020,Shooting,Yes,F,BLACK,NON HISPANIC,29,25-44,43.179133139,-77.648424429,11
-77.609300162,43.172693387,b60d6b2da56ee3b3cc4e9a78cc72b73c,20-172437,112 Rauber St,2020/08/01 04:00:00+00,8,2020,Shooting,No,M,BLACK,NON HISPANIC,52,45-Older,43.172693387,-77.609300162,12
-77.6181375,43.181900602,04bf6b9efe7f0b98c20e83dde9c32e19,20-171385,66 OK Ter,2020/07/31 04:00:00+00,7,2020,Homicide,No,M,BLACK,NON HISPANIC,21,15-24,43.181900602,-77.6181375,13
-77.5767149,43.1743530630001,1b59904e9fb1db03796022c015578185,20-170451,1098 N Goodman St,2020/07/29 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,19,15-24,43.1743530630001,-77.5767149,14
-77.631833797,43.1433883,1a5c2beebb3421b2d40907149618bf55,20-168741,100 Iceland Pk,2020/07/28 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,24,15-24,43.1433883,-77.631833797,15
-77.595770895,43.1544642540001,714dc1f9b01b52097ddd0e2369548c19,20-167092,14 Anson Pl,2020/07/26 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,42,25-44,43.1544642540001,-77.595770895,16
-77.595588417,43.156761799,a41a2993e967126dc6667b2f084d5e01,20-167163,30 N Union St,2020/07/26 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,35,25-44,43.156761799,-77.595588417,17
-77.6017414789999,43.1674965030001,44645044cce811ad904e745bef9b5a8d,20-167673,216 Hudson Ave,2020/07/26 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,43,25-44,43.1674965030001,-77.6017414789999,18
-77.5994224839999,43.1426986170001,525747d22d733302698cdaa5db4f9083,20-165233,757 N Clinton Ave,2020/07/24 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,33,25-44,43.1426986170001,-77.5994224839999,19
-77.634803841,43.163456888,213024cfee42082be6765eac74d134f3,20-165534,415 Orchard St,2020/07/24 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,37,25-44,43.163456888,-77.634803841,20
-77.6016568699999,43.1669565760001,3c40afe7dbce57f0c8259ca89f42ecb0,20-165705,196 Hudson Ave,2020/07/24 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,28,25-44,43.1669565760001,-77.6016568699999,21
-77.6338134819999,43.159657866,35ac9a97417588afa8d3500ebb8fb8f1,20-164354,506 Jay St,2020/07/23 04:00:00+00,7,2020,Shooting,No,F,BLACK,NON HISPANIC,31,25-44,43.159657866,-77.6338134819999,22
-77.639068223,43.1495552480001,0af5d6a255c006635b32787142d18205,20-164965,70 Chili Ave,2020/07/23 04:00:00+00,7,2020,Shooting,No,F,BLACK,NON HISPANIC,43,25-44,43.1495552480001,-77.639068223,23
-77.629324546,43.1432301900001,a121b97ad73200c2abbfab2f7c8f5c26,20-165045,13 Iceland Pk,2020/07/23 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,36,25-44,43.1432301900001,-77.629324546,24
-77.634629472,43.1597051790001,410444da274edebb17d8da3f6937e5c8,20-164054,207 Orchard St,2020/07/22 04:00:00+00,7,2020,Homicide,No,M,BLACK,NON HISPANIC,22,15-24,43.1597051790001,-77.634629472,25
-77.630988383,43.1397268920001,bc22afa57530c1bf9a4c39c965634575,20-164176,419 Flint St,2020/07/22 04:00:00+00,7,2020,Shooting,No,F,BLACK,NON HISPANIC,26,25-44,43.1397268920001,-77.630988383,26
-77.635832453,43.185516062,2923f9282e01ad0d756312e8dd4457a2,20-162572,168 Birr St,2020/07/21 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,23,15-24,43.185516062,-77.635832453,27
-77.600835683,43.172876466,432ba9f172bea03e88542e377702452f,20-161004,33 Vose St,2020/07/19 04:00:00+00,7,2020,Shooting,No,F,WHITE,HISPANIC,42,25-44,43.172876466,-77.600835683,28
-77.612473496,43.1819723140001,e386b58276fbbd7c39aac54bc49e573f,20-159093,40 Kohlman St,2020/07/17 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,26,25-44,43.1819723140001,-77.612473496,29
-77.63231108,43.1626470750001,29ecb76ca96a18ac18accbcbe0c1ffaf,20-159137,1019 W Broad St,2020/07/17 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,34,25-44,43.1626470750001,-77.63231108,30
-77.592247879,43.175084676,249235bca7ec9449619274099fc5f411,20-159018,1149 Clifford Ave,2020/07/16 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,29,25-44,43.175084676,-77.592247879,31
-77.593662224,43.1613982160001,efb6c97f335b985314c2e70147d326f3,20-157459,155 N Union St,2020/07/15 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,33,25-44,43.1613982160001,-77.593662224,32
-77.5856084819999,43.191546203,dcf33f29e6ab2aa2c2ccf932710ba2b8,20-157559,1425 Portland Ave,2020/07/15 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,44,25-44,43.191546203,-77.5856084819999,33
-77.619473649,43.17956243,8265a63a0b57e88b823a17ee6f5920b2,20-158220,198 Ave C,2020/07/15 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,25,25-44,43.17956243,-77.619473649,34
-77.594691548,43.142495178,164144b9fa6b611f93a4a13d3091e069,20-156411,573 S Goodman St,2020/07/13 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,28,25-44,43.142495178,-77.594691548,35
-77.6021475909999,43.1783455550001,b2bfe301d967a02e622be2769ec84a3e,20-155061,301 Wilkins St,2020/07/12 04:00:00+00,7,2020,Shooting,Yes,M,BLACK,NON HISPANIC,31,25-44,43.1783455550001,-77.6021475909999,36
-77.6021475909999,43.1783455550001,31be5045633d417734b56a173090b366,20-155061,301 Wilkins St,2020/07/12 04:00:00+00,7,2020,Shooting,Yes,M,BLACK,NON HISPANIC,29,25-44,43.1783455550001,-77.6021475909999,37
-77.609696362,43.165893254,cd2aefa6eb2593ef834740c7f0b6c2f3,20-154265,444 N Clinton Ave,2020/07/11 04:00:00+00,7,2020,Shooting,Yes,M,BLACK,NON HISPANIC,28,25-44,43.165893254,-77.609696362,38
-77.609696362,43.165893254,55ddb57f281eaef610ba53ce91553511,20-154265,444 N Clinton Ave,2020/07/11 04:00:00+00,7,2020,Shooting,Yes,F,BLACK,NON HISPANIC,33,25-44,43.165893254,-77.609696362,39
-77.609696362,43.165893254,c5007aa4b4973046627ff824ebc9bcbb,20-154265,444 N Clinton Ave,2020/07/11 04:00:00+00,7,2020,Shooting,Yes,M,BLACK,NON HISPANIC,24,15-24,43.165893254,-77.609696362,40
-77.609696362,43.165893254,a39019e92e32385caf9ab3b9c6e1d659,20-154265,444 N Clinton Ave,2020/07/11 04:00:00+00,7,2020,Shooting,Yes,F,BLACK,NON HISPANIC,24,15-24,43.165893254,-77.609696362,41
-77.609696362,43.165893254,c625d92b541f7f0d2b651a9ab5b84b30,20-154265,444 N Clinton Ave,2020/07/11 04:00:00+00,7,2020,Shooting,Yes,M,BLACK,NON HISPANIC,30,25-44,43.165893254,-77.609696362,42
-77.609696362,43.165893254,58e975c724d729b8b667b28990af568e,20-154265,444 N Clinton Ave,2020/07/11 04:00:00+00,7,2020,Shooting,Yes,F,BLACK,NON HISPANIC,28,25-44,43.165893254,-77.609696362,43
-77.584834025,43.175254205,1b719e8df63d4f51cd89b430d8a4c936,20-151275,103 Coleman Ter,2020/07/07 04:00:00+00,7,2020,Homicide,No,M,WHITE,HISPANIC,23,15-24,43.175254205,-77.584834025,44
-77.650608284,43.1361394040001,83d85e7ee2ac4eabfad5ac34e05b66a9,20-150456,184 Flanders St,2020/07/06 04:00:00+00,7,2020,Homicide,Yes,M,BLACK,NON HISPANIC,39,25-44,43.1361394040001,-77.650608284,45
-77.650608284,43.1361394040001,6e9ae66a499ad0f22225ef5f6900ca0b,20-150456,184 Flanders St,2020/07/06 04:00:00+00,7,2020,Shooting,Yes,F,BLACK,NON HISPANIC,37,25-44,43.1361394040001,-77.650608284,46
-77.650608284,43.1361394040001,9e0b577173aee3a3ce341386448cec2e,20-150456,184 Flanders St,2020/07/06 04:00:00+00,7,2020,Shooting,Yes,M,BLACK,NON HISPANIC,20,15-24,43.1361394040001,-77.650608284,47
-77.6476746609999,43.1465037340001,6b9ba0d7a64aed56c8c982bfe45d7818,20-148466,410 Chili Ave,2020/07/05 04:00:00+00,7,2020,Shooting,Yes,M,BLACK,NON HISPANIC,17,15-24,43.1465037340001,-77.6476746609999,48
-77.6476746609999,43.1465037340001,e4770a4f06c7a900f08219aa7a477774,20-148466,410 Chili Ave,2020/07/05 04:00:00+00,7,2020,Shooting,Yes,M,BLACK,NON HISPANIC,20,15-24,43.1465037340001,-77.6476746609999,49
-77.6476746609999,43.1465037340001,535c0806d34a5a74604418006e91ec21,20-148466,410 Chili Ave,2020/07/05 04:00:00+00,7,2020,Shooting,Yes,F,BLACK,NON HISPANIC,33,25-44,43.1465037340001,-77.6476746609999,50
-77.6136057969999,43.1851467050001,7609d71bcf749eaa5982aeb46469b67b,20-148468,1384 N Clinton Ave,2020/07/05 04:00:00+00,7,2020,Shooting,No,F,BLACK,NON HISPANIC,18,15-24,43.1851467050001,-77.6136057969999,51
-77.643088253,43.1470152530001,292ac71f5d4dcd95350440475529062b,20-148479,42 Rugby Ave,2020/07/05 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,29,25-44,43.1470152530001,-77.643088253,52
-77.582428008,43.166296081,f6f5eac598e990e72e895935528290ba,20-148614,287 Pennsylvania Av,2020/07/05 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,16,15-24,43.166296081,-77.582428008,53
-77.629809779,43.1644704220001,a1edd97735defd6e6e9293232e4d6957,20-148851,199 Lyell Ave,2020/07/05 04:00:00+00,7,2020,Shooting,No,M,BLACK,NON HISPANIC,27,25-44,43.1644704220001,-77.629809779,54
