OBJECTID,STREETSEGID,SSD_ID,SOURCEID,ROUTETYPE,ROUTE_ID,SNOWZONE,AGENCY,BEGINMEASURE,ENDMEASURE,SNOWAREA,SHAPE_Length
1,2616,1031201720817209010,13120015,Primary,20,4,DPW,0,64.671511,,64.671502
2,10424,2038091254914583012,23809220,Secondary,40,11,DDOT,0,173.875212,,173.875226
3,12968,1064281706420265012,16428170,Secondary,18,5,DPW,0,133.692338,,133.692318
4,7393,3003201568619937012,30320210,Narrow Road, ,7,DPW,0,101.290292,703,101.290307
5,93,1026910053114592012,12691030,Secondary,27,5,DPW,0,89.070918,,89.070936
6,9628,1001400061619319012,10140598,Secondary,37,9,DPW,0,132.765793,,132.765769
7,12265,1072862022515230011,17286215,Secondary,12,6,DPW,0,88.519547,,88.519523
8,5194,3059451892515585012,35945320,Primary,67,8,DPW,0,26.05595,,26.05593
9,11950,2004401678120874012,20440070,Priority Hills, ,13,DDOT,0,74.570183,1303,74.570199
10,2532,1087422044921639012,18742165,Priority Hills, ,9,DPW,0,138.648024,907,138.64805
11,3167,2036721761317001012,23672132,Primary,50,12,DDOT,0,58.754393,,58.754385
12,6876,2001302176720805012,20130405,Secondary,42,10,DDOT,0,74.882958,,74.882958
13,8647,1043741803114682011,14374110,Primary,14,4,DPW,0,230.817673,,230.817671
14,6826,1002102138616935011,10210110,Secondary,21,6,DPW,0,208.969343,,208.969325
15,6141,1003001699719847012,10300110,Secondary,12,3,DPW,0,94.02434,,94.024328
16,11252,3081511912020951012,38151230,Primary,68,8,DPW,0,87.744987,,87.744976
17,8855,3074360619418373012,37436010,Priority Hills, ,8,DPW,0,63.663994,804,63.663989
18,3657,1060641659917915012,16064415,Primary,2,1,DPW,0,43.609992,,43.610008
19,857,1001401519615197012,10140580,Secondary,37,9,DPW,0,88.681251,,88.681223
20,2722,1088331733216075012,18833560,Secondary,2,1,DPW,0,39.28078,,39.280802
21,5149,1001301891018911012,10130390,Secondary,33,9,DPW,0,118.350201,,118.350185
22,7920,2061421831619919012,26142090,Secondary,42,10,DDOT,0,92.966445,,92.96646
23,10048,2001302080515834012,20130410,Secondary,42,10,DDOT,0,90.461141,,90.461162
24,4321,3061292123317364012,36129015,Priority Hills, ,8,DPW,0,109.153691,804,109.153691
25,8059,1004802017119462012,10480200,Priority Hills, ,3,DPW,0,119.336096,303,119.336072
26,1656,1001902169005690011,10190120,Secondary,24,6,DPW,0,88.922494,,88.922481
27,9268,3009361863220602012,30936110,Primary,66,8,DPW,0,94.584499,,94.584499
28,1159,2052061591215655012,25206047,Priority Hills, ,10,DDOT,0,71.38352,1002,71.383487
29,11311,2063252087516950012,26325445,Secondary,59,13,DDOT,0,75.945485,,75.945487
30,4107,1040491610217486012,14049500,Priority Hills, ,3,DPW,0,166.826096,302,166.826103
31,9580,2038091568919135012,23809050,Secondary,41,10,DDOT,0,91.730561,,91.730577
